id,code,team,web_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
1,69140,1,Mustafi,69140,55,54,109,2272,3,1,10,30,0,0,0,6,0,0,13,610,836.6,129.9,202.0,117.0
2,98745,1,Bellerín,98745,60,59,132,3050,2,4,12,44,0,0,0,5,0,0,11,656,554.0,561.0,484.0,160.1
3,111457,1,Kolasinac,111457,60,58,108,2146,2,4,10,30,0,0,0,3,0,0,6,510,443.2,334.9,404.0,118.3
4,154043,1,Maitland-Niles,154043,45,45,25,908,0,0,3,16,0,0,0,1,0,0,0,160,168.4,141.3,67.0,37.8
6,38411,1,Monreal,38411,55,57,130,2241,5,2,10,29,0,0,0,3,0,0,15,604,693.6,238.7,305.0,124.0
7,51507,1,Koscielny,51507,60,60,100,2225,2,0,9,32,0,0,0,4,0,0,16,556,692.0,123.8,137.0,95.5
8,233963,1,Mavropanos,233963,45,42,4,194,0,0,1,5,0,0,0,0,1,0,0,41,52.2,1.3,2.0,5.5
9,80254,1,Jenkinson,80254,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
10,156074,1,Holding,156074,50,44,27,819,0,1,3,17,0,0,0,3,0,0,1,196,212.2,39.3,24.0,27.5
11,54694,1,Aubameyang,54694,105,108,87,1056,10,4,4,15,0,0,1,0,0,0,12,354,484.0,207.1,580.0,127.1
12,59966,1,Lacazette,59966,105,103,138,2197,14,5,10,28,0,0,0,1,0,0,11,543,725.6,566.0,1291.0,258.0
13,205533,1,Nketiah,205533,50,50,3,17,0,0,0,1,0,0,0,0,0,0,0,10,5.0,1.9,17.0,2.3
15,37605,1,Özil,37605,95,93,112,2161,4,9,8,36,0,0,0,4,0,0,11,506,640.6,1287.5,555.0,248.6
16,57249,1,Mkhitaryan,57249,80,77,107,1712,3,9,12,17,0,0,0,2,0,0,9,411,506.8,727.8,400.0,163.8
17,153133,1,Iwobi,153133,55,51,89,1827,3,5,9,26,0,0,0,1,0,0,2,426,430.0,592.9,635.0,165.6
18,84450,1,Xhaka,84450,55,51,109,3259,1,8,12,50,0,0,0,10,0,0,3,593,753.4,822.8,378.0,195.3
20,153256,1,Elneny,153256,45,42,22,865,0,1,3,12,0,0,0,3,1,0,0,156,138.2,194.4,92.0,42.5
427,98980,1,Martínez,98980,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
