id,code,team,web_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
1,69140,1,Mustafi,69140,60,58,90,2274,2,2,8,30,0,0,0,11,0,0,8,513,598.2,159.7,364.0,112.4
2,98745,1,Bellerín,98745,65,65,119,2503,1,5,10,34,0,0,0,4,0,0,12,569,437.6,508.3,395.0,133.8
4,154043,1,Maitland-Niles,154043,45,45,1,2,0,0,0,0,0,0,0,0,0,0,0,5,2.2,0.0,0.0,0.2
6,38411,1,Monreal,38411,60,59,115,3153,0,3,11,43,0,0,0,5,0,0,9,681,554.0,280.3,220.0,105.8
7,51507,1,Koscielny,51507,60,61,121,2821,2,1,10,37,0,0,0,4,1,0,19,723,831.2,53.9,239.0,112.7
9,80254,1,Jenkinson,80254,50,48,2,82,0,0,0,1,0,0,0,0,0,0,0,12,19.4,2.0,0.0,2.1
10,156074,1,Holding,156074,45,41,32,810,0,0,4,8,0,0,0,3,0,0,3,171,172.0,49.2,100.0,32.2
15,37605,1,Özil,37605,95,95,167,2841,8,11,12,30,0,0,0,2,0,0,19,729,834.4,1649.3,734.0,322.0
16,57249,1,Mkhitaryan,57249,95,87,73,1348,4,1,10,8,0,0,0,1,0,0,3,279,325.8,512.2,427.0,126.2
17,153133,1,Iwobi,153133,60,53,89,1456,3,5,9,20,0,0,0,1,0,0,8,352,326.4,467.8,592.0,138.7
18,84450,1,Xhaka,84450,55,52,85,2483,2,3,10,32,0,0,0,5,2,0,7,506,488.8,626.2,193.0,130.8
20,153256,1,Elneny,153256,50,45,26,694,0,1,3,9,0,0,0,1,0,0,0,133,89.0,108.6,116.0,31.1
427,98980,1,Martínez,98980,40,39,8,180,0,0,1,3,0,0,0,0,0,5,0,35,30.6,0.0,0.0,3.1
467,101184,1,Chambers,101184,45,43,83,2250,2,1,7,37,0,0,0,4,0,0,7,499,692.2,107.0,80.0,88.0
22,37339,2,El Mohamady,37339,50,46,62,2523,0,2,3,63,1,0,0,3,1,0,1,428,464.4,428.6,108.0,99.9
23,43252,2,Chester,43252,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
24,47390,2,Taylor,47390,45,41,22,920,0,1,2,26,0,0,0,1,0,0,0,160,149.2,84.1,12.0,24.6
94,21205,2,Heaton,21205,45,51,149,3150,0,0,10,48,0,1,0,1,0,142,21,741,1001.6,30.3,0.0,103.2
309,169359,2,Targett,169359,45,41,12,373,0,0,1,4,0,0,0,0,0,0,0,80,64.6,87.9,12.0,16.5
445,149484,2,Mings,149484,45,45,4,506,0,0,0,16,2,0,0,0,0,0,2,89,125.4,18.3,45.0,18.9
58,56917,3,Steve Cook,56917,50,48,112,3420,2,0,10,67,1,0,0,5,0,0,17,777,1123.0,66.2,391.0,158.2
59,126184,3,Aké,126184,45,39,55,834,3,1,3,20,0,0,0,1,0,0,8,267,373.2,55.5,147.0,57.5
60,41320,3,Daniels,41320,50,52,134,3060,4,3,10,53,0,0,0,1,0,0,14,692,698.2,528.3,302.0,152.9
62,15149,3,Francis,15149,45,45,89,2938,0,1,10,54,0,0,0,4,1,0,7,639,748.2,291.2,130.0,117.3
63,54469,3,Adam Smith,54469,45,46,104,3101,1,5,8,61,1,0,0,6,0,0,12,645,566.6,509.8,242.0,132.1
67,75115,3,Wilson,75115,65,60,63,1361,6,1,6,25,0,0,0,0,0,0,2,170,229.0,125.7,487.0,82.2
68,78007,3,King,78007,55,62,178,2714,16,3,9,54,0,0,1,1,0,0,17,553,835.2,474.6,1007.0,231.6
