id,code,team,web_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
386,43020,19,Chicharito,43020,65,61,86,1326,7,4,6,20,0,0,0,2,0,0,10,276,301.0,112.0,528.0,93.4
387,209925,19,Xande Silva,209925,45,45,1,17,0,0,0,0,0,0,0,0,0,0,0,3,2.0,10.3,36.0,4.8
388,37096,19,Fabianski,37096,45,47,143,3420,0,0,7,55,0,1,0,0,0,148,15,742,1136.0,20.0,0.0,115.5
389,57531,19,Antonio,57531,70,68,118,2093,6,8,7,30,0,0,0,3,0,0,6,305,482.0,346.2,852.0,167.0
390,101537,19,Felipe Anderson,101537,70,68,155,3045,9,6,7,49,0,0,0,3,0,0,18,619,882.2,1042.4,799.0,272.2
391,86934,19,Lanzini,86934,65,64,31,685,1,2,2,12,0,0,0,2,0,0,3,148,141.0,118.2,165.0,42.4
392,56377,19,Yarmolenko,56377,70,67,27,456,2,1,1,6,0,0,0,2,0,0,2,88,86.0,84.6,122.0,29.1
393,18987,19,Snodgrass,18987,55,50,85,2215,2,5,5,33,0,0,0,10,0,0,9,364,460.8,976.0,380.0,181.5
394,54102,19,Wilshere,54102,50,48,17,388,0,2,1,10,0,0,0,2,0,0,0,90,72.0,74.0,17.0,16.3
395,204480,19,Rice,204480,45,44,92,3003,2,0,6,47,0,0,0,4,0,0,9,586,584.4,174.2,213.0,97.1
396,18073,19,Noble,18073,50,48,99,2289,5,5,7,31,0,0,0,6,1,0,5,454,521.4,359.8,196.0,107.6
397,42824,19,Carlos Sánchez,42824,45,43,9,240,0,0,0,4,0,0,0,0,0,0,0,44,24.6,28.8,24.0,7.8
398,179830,19,Diangana,179830,45,45,25,600,0,1,2,13,0,0,0,0,0,0,0,86,115.0,174.5,175.0,46.2
400,59779,19,Obiang,59779,45,42,43,1116,0,2,2,21,0,0,0,0,0,0,1,188,219.2,105.9,112.0,43.6
401,87835,20,Doherty,87835,45,53,144,3141,4,7,8,41,1,0,0,5,0,0,12,596,758.8,547.4,711.0,201.6
402,114128,20,Jonny,114128,45,43,103,2772,1,3,8,39,0,0,0,6,0,0,9,488,523.4,447.3,361.0,133.3
403,94147,20,Coady,94147,45,45,94,3420,0,0,9,46,3,0,0,5,0,0,6,585,593.2,26.2,0.0,61.8
404,41727,20,Bennett,41727,40,41,89,3060,1,0,9,38,0,0,0,12,0,0,1,467,566.4,129.7,172.0,86.9
405,90585,20,Boly,90585,45,47,120,3168,4,0,8,43,0,0,0,2,1,0,10,635,954.2,146.9,279.0,137.7
406,216054,20,Vinagre,216054,45,43,24,703,0,0,1,9,0,0,0,1,0,0,0,118,117.0,113.7,69.0,30.0
407,107613,20,Saïss,107613,45,42,47,1142,2,0,3,17,0,0,0,7,0,0,5,248,363.6,70.9,129.0,56.2
408,214048,20,Kilman,214048,40,40,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0
409,102057,20,Jiménez,102057,55,69,181,3112,13,10,12,40,0,0,0,4,0,0,31,602,788.8,648.5,1428.0,285.4
410,194634,20,Jota,194634,65,63,139,2352,9,8,10,29,0,0,0,11,0,0,13,386,559.6,402.5,888.0,185.0
411,38533,20,Patrício,38533,45,45,118,3330,0,0,8,46,0,0,0,0,0,97,4,581,695.0,0.0,0.0,69.1
412,19236,20,Ruddy,19236,45,42,7,90,0,0,1,0,0,0,0,0,0,3,0,25,26.6,0.0,0.0,2.7
413,168399,20,Norris,168399,40,39,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0
414,171317,20,Neves,171317,50,49,104,3006,4,3,8,43,0,0,0,8,0,0,7,483,698.2,365.9,402.0,146.8
415,19624,20,Moutinho,19624,55,51,119,3030,1,8,9,39,0,0,0,4,0,0,13,628,812.6,1245.8,102.0,216.4
416,222531,20,Gibbs-White,222531,45,43,37,645,0,1,4,12,0,0,0,1,0,0,0,113,73.2,181.1,72.0,32.5
417,159533,20,Traoré,159533,55,51,44,884,1,1,1,13,0,0,0,1,0,0,2,182,223.4,271.3,265.0,75.8
418,165808,20,Costa,165808,50,46,52,1333,1,2,5,19,0,0,0,3,0,0,0,136,162.8,264.0,280.0,70.9
419,166324,20,Cavaleiro,166324,55,52,48,677,3,1,1,11,0,0,0,1,0,0,3,156,198.0,313.6,156.0,66.0
420,151589,20,Dendoncker,151589,45,43,48,1465,2,0,3,21,0,0,0,1,0,0,1,209,334.8,126.6,288.0,75.1
